idx,scm_COR_R,scm_IDM_R,scm_ENT_R,scm_CSD_R,scm_CSR_R,scm_DKL_R,scm_MDR_R,scm_CAD_R,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
106.0,0.43511187248626704,0.722720899642975,2.41203985083305,0.28796103646227805,0.851257274599721,0.0,1.0,1.0,52.5,51.63,287.0,0.24,1.87978034637772,1.66160543862428,1.7752576554579198,0.0,4.0
24.0,0.462354092296959,0.7659900421294521,2.18556534574647,0.22908007480849504,0.92838601301682,0.0,1.0,1.0,45.0,44.25,295.0,0.26,1.8714714666159495,1.7645801878874,1.85109716473564,0.0,3.0
36.0,0.465005486165361,0.746703304908828,2.36560823312149,0.250447670335094,0.880491931023514,0.0,1.0,1.0,47.5,46.31,356.0,0.5,3.01616592751886,2.65417689029059,2.725752729152,0.0,6.0
53.0,0.460772302509282,0.7486486891161451,2.2920244365037097,0.244511144812438,0.8797986037657339,0.0,1.0,1.0,47.5,46.74,284.0,0.23,1.77997611173253,1.67240359892784,1.73544060808038,0.0,3.0
83.0,0.460397709719424,0.7360626536530791,2.36951735394211,0.26650022115070804,0.853737880641163,0.0,1.0,1.0,52.5,51.48,360.0,0.48,2.68784149410052,2.66989567973747,2.7565244115908505,0.0,2.0
162.0,0.428406048757101,0.7573462587094821,2.13178317414963,0.26021204281793103,0.898838790893313,0.0,1.0,1.0,57.5,56.87,309.0,0.29,1.91660721111988,1.9024793784834704,1.94426788036911,0.0,2.0
92.0,0.4471454025106121,0.716137441097696,2.4803947028214304,0.297493704953119,0.8063685523830492,0.0,1.0,1.0,52.5,51.35,346.0,0.4,2.61086517866349,2.35306044984158,2.55330510798316,0.0,4.0
89.0,0.464825307436207,0.7410701052319549,2.3822825142605697,0.256426913017308,0.8763802139757291,0.0,1.0,1.0,52.5,51.54,351.0,0.44,2.52675406982753,2.50255669620863,2.57735769776551,0.0,5.0
164.0,0.3795058050056561,0.7377351530800441,2.158059733606,0.291757785844745,0.91504225682536,0.0,1.0,1.0,60.0,59.0,355.0,0.41,2.6690929632075298,2.55239532283213,2.6879016394657405,0.0,3.0
26.0,0.476822053351344,0.7469040825777149,2.39795662002888,0.247753399946559,0.8505168382486179,0.0,1.0,1.0,47.5,46.21,377.0,0.61,3.1292167412955294,3.10944442365464,3.1696514311189503,0.0,5.0
172.0,0.41271072354166,0.750018750468761,2.0891071962733103,0.270942373015797,0.882302582985627,0.0,1.0,1.0,60.0,59.21,318.0,0.28,2.10653218285535,1.96739151087351,2.06406238752433,0.0,3.0
147.0,0.472882912612332,0.7322145095627199,2.4333685488271803,0.279746627724671,0.8747371237296752,0.0,1.0,1.0,55.0,54.17,345.0,0.39,2.4025921614632,2.38828393988793,2.4672307371065,0.0,1.0
77.0,0.478426722563033,0.727611397304928,2.5113082884922298,0.27450938830605,0.818442201037537,0.0,1.0,1.0,50.0,49.05,357.0,0.47,2.6272776547224903,2.63491057697613,2.70531995064586,0.0,1.0
141.0,0.41602441872974105,0.710873521383075,2.4014149666957003,0.3119459083216,0.8780722285501128,0.0,1.0,1.0,57.5,56.45,370.0,0.51,2.91360398158934,2.8924920616457896,2.98772264516954,0.0,2.0
127.0,0.472817621682979,0.749445410396307,2.29381422686034,0.250128035015249,0.923090470385726,0.0,1.0,1.0,52.5,51.89,292.0,0.24,1.7610717025525302,1.76648046103713,1.7926209633534598,0.0,1.0
34.0,0.4780313722615789,0.739951459184278,2.42065681168528,0.25688261980421395,0.8455842701130241,0.0,1.0,1.0,47.5,46.3,360.0,0.5,2.81534906273288,2.69457672625557,2.8182612726699303,0.0,3.0
17.0,0.470236220705558,0.746547219111609,2.37869543632066,0.24266133639831505,0.877052496312431,0.0,1.0,1.0,45.0,44.11,326.0,0.35,2.21382821982242,2.1072113145971296,2.2126075264279903,0.0,3.0
112.0,0.468316473446359,0.728310901357572,2.47988032301051,0.278202109141313,0.8485736078243199,0.0,1.0,1.0,52.5,51.59,355.0,0.45,2.5682098609401,2.56275186702937,2.64570129277209,0.0,1.0
35.0,0.440664251867036,0.7473171314979219,2.20881722008864,0.248013060391598,0.92823284837288,0.0,1.0,1.0,50.0,49.17,241.0,0.2,1.7638100783096902,1.42448198626379,1.28374435590243,0.0,7.0
27.0,0.4632933752976189,0.764549374598612,2.15480728651095,0.220307081624985,0.950697587419467,0.0,1.0,1.0,45.0,44.31,268.0,0.22,1.7794279736477,1.59806250372574,1.57437916536396,0.0,6.0
28.0,0.494222239457278,0.7747373640335931,2.22574676094752,0.21199005995665,0.906630880561616,0.0,1.0,1.0,45.0,44.41,270.0,0.21,1.59107313022266,1.6036766735604298,1.61811928396378,0.0,1.0
