idx,Skewness_R,Kurtosis_R,Variance_R,RMS_R,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
35.0,0.257613733715027,8.932079244115302,10.9881366673667,3.31483586056153,50.0,49.17,241.0,0.2,1.7638100783096902,1.42448198626379,1.28374435590243,0.0,7.0
27.0,0.131412957212782,8.975537477083051,10.094389205372599,3.1777215014030804,45.0,44.31,268.0,0.22,1.7794279736477,1.59806250372574,1.57437916536396,0.0,6.0
28.0,0.104074134478198,7.83114518722397,12.763552920374599,3.57359133983114,45.0,44.41,270.0,0.21,1.59107313022266,1.6036766735604298,1.61811928396378,0.0,1.0
208.0,0.265644764584625,12.2638083158783,6.292774536654661,2.50940789895273,60.0,59.42,216.0,0.13,1.37409269711516,1.25104559423879,1.19297265080158,0.0,6.0
93.0,0.21051243950401,7.56419379043386,14.614998279779401,3.8229541008653,50.0,49.38,292.0,0.25,1.75293251540658,1.7602051131739598,1.78589281583945,0.0,1.0
134.0,0.4312989776148,8.3913471524975,16.1790436298056,4.0228375935921,57.5,56.26,373.0,0.51,3.05752691611506,2.91019212001208,3.07794426570687,0.0,3.0
7.0,0.5036892802023161,8.59806776131612,14.902124631185998,3.86029040458585,45.0,43.91,342.0,0.44,2.7228637152049906,2.403253091174049,2.46544710580319,0.0,6.0
60.0,0.31365889106263395,7.67187529213719,16.437334108766198,4.05541139547302,50.0,49.02,356.0,0.48,2.62935522692066,2.61050914876617,2.66788182491932,0.0,5.0
125.0,0.274581411305121,8.40976398117697,14.2523695098893,3.77596163189144,55.0,54.62,329.0,0.33,2.2571889483336203,2.1202184304297,2.24369260958165,0.0,3.0
48.0,0.247370920799314,8.50397870900663,14.0285816589426,3.74545237512804,47.5,46.55,329.0,0.38,2.4793739458662296,2.20389613336644,2.2235347468524904,0.0,6.0
76.0,0.339568657028612,8.729642744977971,14.156727210218301,3.76255709661008,50.0,48.98,339.0,0.42,2.64599594880596,2.33642512147033,2.37758054832739,0.0,6.0
