idx,fx1_R,fx0d5_R,fx1d5_R,fx2d5_R,fx3_R,fx5_R,fx7_R,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
106.0,0.9848922261694172,0.0234956023566122,0.0334283820345952,0.0213328499397526,0.201806746638256,0.3713816914174111,0.31937979470030897,52.5,51.63,287.0,0.24,1.87978034637772,1.66160543862428,1.7752576554579198,0.0,4.0
24.0,0.867996376273526,0.014729463595736,0.038349089949388,0.0188417454936373,0.150440719064912,0.3846022179262871,0.275356348978758,45.0,44.25,295.0,0.26,1.8714714666159495,1.7645801878874,1.85109716473564,0.0,3.0
36.0,1.21872376455751,0.0204708646697477,0.0319985915747286,0.0153273097936115,0.143213152625325,0.3900365157005489,0.398739673546164,47.5,46.31,356.0,0.5,3.01616592751886,2.65417689029059,2.725752729152,0.0,6.0
53.0,0.855592825642336,0.0164785686344948,0.0438819766167682,0.00973904251007496,0.14235657674048402,0.3544311501206721,0.327677752212935,47.5,46.74,284.0,0.23,1.77997611173253,1.67240359892784,1.73544060808038,0.0,3.0
83.0,1.17163759022397,0.115716846023122,0.0534220156911731,0.0665874389548233,0.152327476031892,0.3862177869379,0.377228458394628,52.5,51.48,360.0,0.48,2.68784149410052,2.66989567973747,2.7565244115908505,0.0,2.0
162.0,0.701253443952901,0.009463896375329241,0.0222684370240476,0.011608022621547,0.185899187311445,0.34298936349783504,0.428998537833885,57.5,56.87,309.0,0.29,1.91660721111988,1.9024793784834704,1.94426788036911,0.0,2.0
92.0,0.974991704501651,0.0200079067262376,0.0267252836881108,0.0126976698214637,0.18589186325805604,0.42664753185683296,0.451344450272871,52.5,51.35,346.0,0.4,2.61086517866349,2.35306044984158,2.55330510798316,0.0,4.0
89.0,0.97481374708139,0.0151581537237815,0.0316889209397532,0.00910270888833794,0.175797496534392,0.363697156095582,0.412976290649364,52.5,51.54,351.0,0.44,2.52675406982753,2.50255669620863,2.57735769776551,0.0,5.0
164.0,0.6309044636575,0.016274008196887,0.0333753515205099,0.0107247334907892,0.21448763752088,0.5193044649696129,0.463531839549519,60.0,59.0,355.0,0.41,2.6690929632075298,2.55239532283213,2.6879016394657405,0.0,3.0
26.0,1.29997247989772,0.028569372288577,0.0392578039462827,0.0163133611148403,0.172123033261808,0.43057748837135,0.4046223267489429,47.5,46.21,377.0,0.61,3.1292167412955294,3.10944442365464,3.1696514311189503,0.0,5.0
172.0,0.576182445089791,0.0742485383524828,0.0801460989317681,0.0533144842845874,0.14573488967130202,0.38308041062263104,0.394278146727492,60.0,59.21,318.0,0.28,2.10653218285535,1.96739151087351,2.06406238752433,0.0,3.0
147.0,1.11962399953912,0.0154529549996708,0.0395090147454226,0.0102581326815636,0.196378683974708,0.382366794361788,0.481275483649965,55.0,54.17,345.0,0.39,2.4025921614632,2.38828393988793,2.4672307371065,0.0,1.0
77.0,0.9327542089833348,0.0113136499591608,0.0227906817406819,0.040035577367427,0.164869596390995,0.3781478328372661,0.4134337605763711,50.0,49.05,357.0,0.47,2.6272776547224903,2.63491057697613,2.70531995064586,0.0,1.0
141.0,0.769477460510861,0.0948324201920059,0.0568168867873246,0.0745167219569016,0.16174840004014998,0.4134267335799099,0.4692069746886229,57.5,56.45,370.0,0.51,2.91360398158934,2.8924920616457896,2.98772264516954,0.0,2.0
127.0,1.04833130521569,0.0154264654852533,0.0344808475755053,0.0128886995862155,0.19741217229059,0.413042238168113,0.315193769220859,52.5,51.89,292.0,0.24,1.7610717025525302,1.76648046103713,1.7926209633534598,0.0,1.0
34.0,1.25867699914312,0.0394405993889017,0.0414657465868432,0.0133166962295845,0.18425277705524895,0.4834549532756861,0.4334844815650229,47.5,46.3,360.0,0.5,2.81534906273288,2.69457672625557,2.8182612726699303,0.0,3.0
17.0,1.26628756582861,0.0244393539723565,0.0447010096053893,0.0248249076903725,0.16218276591291,0.431908306495652,0.34578423669761404,45.0,44.11,326.0,0.35,2.21382821982242,2.1072113145971296,2.2126075264279903,0.0,3.0
112.0,1.13825369879026,0.12445880918955,0.15153608565219698,0.0705947737107884,0.17929389380708502,0.314666571583298,0.407289397054433,52.5,51.59,355.0,0.45,2.5682098609401,2.56275186702937,2.64570129277209,0.0,1.0
35.0,0.8561388484658872,0.021794370753064,0.0356741304394142,0.0263080306332596,0.176814738439682,0.325580052918695,0.370524532856741,50.0,49.17,241.0,0.2,1.7638100783096902,1.42448198626379,1.28374435590243,0.0,7.0
27.0,1.00012132869718,0.0532541711269137,0.09472894802150697,0.0748060557488843,0.146429182133615,0.276836086178194,0.272589236597105,45.0,44.31,268.0,0.22,1.7794279736477,1.59806250372574,1.57437916536396,0.0,6.0
28.0,1.12326911755043,0.019491497042288003,0.0330605234891072,0.0142857537988843,0.155146353083695,0.36083376183211496,0.299407247800292,45.0,44.41,270.0,0.21,1.59107313022266,1.6036766735604298,1.61811928396378,0.0,1.0
208.0,0.4301563959286939,0.0117359772159963,0.0256875138348422,0.0138737544980855,0.123389643372669,0.34988936716453,0.241103755890868,60.0,59.42,216.0,0.13,1.37409269711516,1.25104559423879,1.19297265080158,0.0,6.0
93.0,1.10653594779003,0.0108193008054271,0.0333512771860133,0.018798980446175,0.139730279785045,0.36408845243178295,0.35553794919243,50.0,49.38,292.0,0.25,1.75293251540658,1.7602051131739598,1.78589281583945,0.0,1.0
134.0,0.7794254358157241,0.0142673283161112,0.0273584517197675,0.0293606419853038,0.23722913271429005,0.494712360409758,0.409706690927148,57.5,56.26,373.0,0.51,3.05752691611506,2.91019212001208,3.07794426570687,0.0,3.0
7.0,1.26050407126395,0.0111347325662467,0.041876697513526,0.0171454690143673,0.16062400717913095,0.371259333919526,0.321727277977944,45.0,43.91,342.0,0.44,2.7228637152049906,2.403253091174049,2.46544710580319,0.0,6.0
60.0,1.3387244412838,0.0138993960880875,0.04460283614921,0.0258747805961221,0.154860656008115,0.4470978950470901,0.352121322808616,50.0,49.02,356.0,0.48,2.62935522692066,2.61050914876617,2.66788182491932,0.0,5.0
125.0,0.886998369075606,0.0155405247296191,0.0360576760666578,0.0108048965883121,0.17191719013073806,0.443114514040536,0.33394224033833003,55.0,54.62,329.0,0.33,2.2571889483336203,2.1202184304297,2.24369260958165,0.0,3.0
48.0,0.926663089511656,0.0351383564389099,0.0411737421216752,0.0225299028846352,0.146757619867231,0.401577185603742,0.380214882299412,47.5,46.55,329.0,0.38,2.4793739458662296,2.20389613336644,2.2235347468524904,0.0,6.0
76.0,1.0367537359503198,0.0171286195725042,0.0310482772601884,0.0277028904204516,0.142328583661738,0.37995583220600093,0.3427343591208039,50.0,48.98,339.0,0.42,2.64599594880596,2.33642512147033,2.37758054832739,0.0,6.0
17.0,1.38447593894272,0.0568037162647372,0.09857225104443,0.0733396563825713,0.14788250026557,0.420101105377781,0.3827563650691521,45.0,44.19,334.0,0.38,2.24254355477452,2.24411754715203,2.3123964775090498,0.0,1.0
13.0,1.0606050894925,0.0223033718233635,0.0284098041053893,0.0166231612403699,0.18563554300061494,0.339060364527868,0.3409350656183889,47.5,46.6,255.0,0.22,1.94410466144737,1.55006236944891,1.4360644981099495,0.0,7.0
74.0,0.914802942284985,0.015140072676711,0.0305234422938169,0.0300378697044398,0.138505834382213,0.36997811239511696,0.41863575440025,50.0,48.94,344.0,0.44,2.72875912856943,2.40233840151852,2.45146935002318,0.0,6.0
77.0,0.919364972531883,0.0261143430607583,0.0350085588528454,0.0350221436858962,0.160807359456666,0.330994819087495,0.331720914898654,52.5,51.15,380.0,0.62,3.20175604641622,3.1777813049331702,3.24192076384683,0.0,5.0
