idx,Skewness_R,Kurtosis_R,Variance_R,RMS_R,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
28.0,0.146132010522326,9.044498619042999,9.43298363531716,3.07194683985125,45.0,44.33,260.0,0.21,1.71832170064317,1.5463047273039,1.52051690943366,0.0,6.0
107.0,0.0441336481381543,8.90088134311925,10.819370621207499,3.2895942661585296,52.5,51.79,270.0,0.23,1.66130912798584,1.54504737719183,1.6063301090556898,0.0,3.0
174.0,0.321503983240945,7.913254565933441,17.302478564995898,4.160833099206109,57.5,56.6,358.0,0.42,2.64021239441821,2.6113461832033,2.71988829647812,0.0,1.0
95.0,0.00446896783188874,9.0336017377278,7.919837332227808,2.8142338927405603,50.0,49.36,230.0,0.16,1.4704481834459902,1.3261851817707802,1.29143121720995,0.0,6.0
246.0,0.10992038305714097,8.69193184099446,7.310259778225441,2.70372217175652,60.0,59.53,231.0,0.13,1.30497770839758,1.31157532496287,1.32084357656623,0.0,1.0
49.0,0.350941798031178,8.18580209040676,15.6209518071057,3.95244022903332,52.5,51.51,296.0,0.33,2.41998073074248,1.89335725215644,1.76066985102995,0.0,7.0
69.0,0.540356369348749,8.31205731919201,16.0437809886851,4.00630456353935,50.0,49.01,342.0,0.4,2.4491011062703,2.32115476017961,2.44574743597823,0.0,3.0
105.0,-0.13178468440056298,8.96891437480572,8.778006646432411,2.9627497928594,52.5,51.96,245.0,0.17,1.3890404183108702,1.39286787298947,1.40307565459441,0.0,2.0
107.0,0.0912083438390448,8.45634597029842,13.6870560467499,3.69973996563959,52.5,51.65,280.0,0.22,1.82803824773762,1.6169984775778,1.72250009543299,0.0,4.0
139.0,0.0756429032563948,9.467521243446619,7.38145631628255,2.71722078495685,55.0,54.5,215.0,0.13,1.23175613849249,1.23534405027523,1.2449960786856002,0.0,2.0
199.0,0.440610572877902,10.893597999696803,10.4607027813079,3.23434301021531,60.0,59.24,306.0,0.28,2.13952196419266,1.89583273818374,1.86596476997936,0.0,6.0
27.0,0.22821714112618105,9.62423762320654,6.82979032796452,2.61440025834963,45.0,44.47,210.0,0.12,1.18398103499212,1.1958681833032,1.19918379074125,0.0,2.0
36.0,0.441309412364876,8.263988059963419,15.505570421071,3.94196993478431,47.5,46.46,356.0,0.48,2.6240117055791097,2.62367821559686,2.68987280624155,0.0,2.0
56.0,0.16733901297227402,8.51813994160091,12.2517091637133,3.50023737195444,47.5,46.76,255.0,0.17,1.6263021765219,1.45580472187718,1.53069351025765,0.0,4.0
127.0,0.362289465221109,8.79419369680183,13.3578060444082,3.65536037616371,55.0,54.68,318.0,0.29,2.09435043924256,1.961426708291,2.06755905175883,0.0,3.0
193.0,0.481451092782835,10.7990353706678,10.9994031200158,3.3165128704680003,60.0,59.34,322.0,0.31,2.0236311788123302,1.99809402699928,2.0449348239138003,0.0,2.0
55.0,0.179670792044558,8.630773375162901,12.055064989992301,3.4738455529637497,47.5,46.69,300.0,0.29,2.09064283650466,1.8638987717631,1.8661533339892,0.0,6.0
108.0,0.3880694342261379,9.85485791973574,14.065367075353999,3.75070156334877,60.0,58.89,325.0,0.41,2.88777389177918,2.22925428106501,2.07305426732791,0.0,7.0
81.0,0.404861567729051,7.95329971010898,16.8837975873803,4.11000927360253,52.5,51.27,373.0,0.56,3.01377981221762,2.98753010323744,3.05768630171034,0.0,5.0
216.0,-0.0363695597953604,6.53376103210016,11.527300398963597,3.39519728583061,60.0,59.2,345.0,0.36,2.41890977631769,2.38823184752892,2.4736221136379104,0.0,1.0
88.0,0.433994999435712,8.297485096957589,15.958531538138,3.99512151949768,52.5,51.38,359.0,0.48,2.75470850006708,2.61437087267207,2.7519471434915697,0.0,3.0
67.0,0.470728413260636,7.94665851630638,18.2241618872547,4.26943471583476,50.0,48.83,337.0,0.37,2.50044422182432,2.22128475288729,2.41484280264046,0.0,4.0
41.0,0.37042052969674,8.215518486931991,15.519914606282,3.940051426297461,47.5,46.45,344.0,0.41,2.4934603192711,2.36906306839698,2.49679393245287,0.0,3.0
233.0,0.0112057056028604,7.455346403733309,9.685810087323981,3.11268817328603,60.0,59.39,304.0,0.24,1.88313844170297,1.8637616833346295,1.91450246164354,0.0,1.0
175.0,0.3731865195434629,9.676380274860607,13.6421869670907,3.6940725606849503,60.0,58.98,368.0,0.47,2.86176155480697,2.84168191544078,2.93623042107701,0.0,2.0
137.0,0.443443234093877,7.702885920470929,19.0679689088653,4.37339029879241,55.0,53.97,368.0,0.5,2.8322724420571803,2.83302915801928,2.914860733839069,0.0,1.0
79.0,0.35166666574543104,7.348543651900059,18.335136618150802,4.2920445770699,50.0,49.09,353.0,0.44,2.54365801542145,2.54578081848181,2.62354241570956,0.0,1.0
167.0,0.300811048181272,9.09964394829801,12.8761575537025,3.59128979076073,57.5,56.64,327.0,0.35,2.38201214089043,2.1057742256957,2.11696635464138,0.0,6.0
143.0,0.575725072288648,8.7398676297531,16.029384569895598,4.005739206161231,57.5,56.46,339.0,0.37,2.48293314144197,2.23853971020536,2.42232788346204,0.0,4.0
21.0,0.258481625859848,8.56606415394743,11.300340828850803,3.36243656828896,45.0,44.35,285.0,0.25,1.72359368641018,1.7144372052709698,1.73477206624816,0.0,5.0
71.0,0.33122306174030297,8.47108027541698,14.924240955594499,3.86944131713996,50.0,49.07,336.0,0.37,2.33141039288713,2.20805457147418,2.32519564029567,0.0,3.0
48.0,-0.00836313894109356,8.268768209808071,10.526368123053,3.24472089532189,47.5,46.9,271.0,0.22,1.6008908148531005,1.59517066095844,1.61059396135136,0.0,5.0
13.0,0.115051285853228,8.11854327238661,14.4932632795904,3.80815769561644,45.0,44.11,339.0,0.41,2.34417887770279,2.32798619058321,2.39666331002344,0.0,5.0
70.0,0.373907720622479,8.400443520537799,15.5251261966727,3.94072954754262,50.0,48.86,355.0,0.49,2.97096688244969,2.61760233772787,2.67613809202973,0.0,6.0
179.0,0.300649249732973,8.08174801390981,16.8369408806259,4.10661565428543,57.5,56.7,344.0,0.38,2.43920139068932,2.4196090864356803,2.50878098929422,0.0,1.0
2.0,0.311005252852502,7.975617927855248,16.5064829288571,4.06279492286379,45.0,43.72,373.0,0.6,3.01260276218669,3.0198015026580203,3.0734346124125,0.0,2.0
166.0,0.601768103813893,7.41544309689901,20.1757133389009,4.49171834993767,57.5,56.44,374.0,0.52,2.98950091094871,2.9691498520577206,3.07656400012759,0.0,1.0
127.0,0.277819208193616,8.69522906691794,13.241065203761599,3.64181680418286,55.0,54.26,323.0,0.32,2.10063472449894,2.07959283239205,2.13336035900684,0.0,2.0
43.0,0.492715800762875,8.43722420460068,16.757962701912803,4.09386584709309,47.5,46.5,317.0,0.32,2.2117587658016897,1.98479373801895,2.13078478247236,0.0,4.0
132.0,0.184197033591438,8.863165311387801,11.793167887232402,3.434461333803,55.0,54.36,297.0,0.26,1.80421280993272,1.7893750813175602,1.82456550201602,0.0,2.0
74.0,0.174158195812802,8.851481503782788,11.849519418836902,3.44459410943992,55.0,54.12,281.0,0.21,1.9179246475689296,1.53621943898748,1.37863297354211,0.0,7.0
20.0,0.134578649849933,8.5029447541468,11.902206024730301,3.4510034839226496,45.0,44.32,297.0,0.28,1.82151580998833,1.80959454840476,1.83428170678015,0.0,5.0
201.0,0.3583165958563461,11.8970015346068,7.451251128490862,2.7304430124994,60.0,59.5,245.0,0.15,1.40651716610088,1.40893116405201,1.41787441821051,0.0,2.0
63.0,0.448207906242132,8.31010621242559,15.5719566981075,3.94616049224987,50.0,48.99,357.0,0.47,2.6448397032246,2.6386431899507,2.7135755947627,0.0,2.0
124.0,0.4834471576390851,8.76106601590972,12.753526362218599,3.57137864357315,55.0,54.29,315.0,0.3,2.0051547212642697,1.97299051864021,2.01465256797062,0.0,5.0
104.0,0.34714315672753104,8.58525417751048,14.664653954658599,3.83008788873603,52.5,51.59,299.0,0.25,1.99422459661948,1.76398813382173,1.8934052060930904,0.0,4.0
189.0,0.19283160117047696,7.445036242274389,15.7249293161781,3.96714642626402,57.5,56.9,303.0,0.25,1.8701356569307896,1.85419660264016,1.90031389680942,0.0,1.0
225.0,0.0225925672528593,6.89867775040852,10.703105527991099,3.2717629336303697,60.0,59.3,327.0,0.31,2.14647487989459,2.11732726748572,2.18234567623362,0.0,1.0
52.0,0.344141679610032,9.043803244833938,12.7257803166987,3.56944582175814,47.5,46.63,317.0,0.33,2.29138246976837,2.04480254285915,2.0493416920591296,0.0,6.0
